target,rank,feature,importance_mean,importance_std
PI,1,ionic_strength_proxy,0.0260452623079417,0.0019833584579185
PI,2,ratio_NaBr,0.0094819614946934,0.0009166988785565
PI,3,lithium_ratio,0.0093358752370481,0.0006081682266225
PI,4,perchlorate_ratio,0.0090144060733998,0.0006810975957366
PI,5,sulfate_ratio,0.007739544060796,0.0005714902104664
PI,6,ratio_NaClO4,0.00750786641221,0.0006228142967844
W_1,1,ratio_NaBr,0.0835884558214111,0.0046228887308728
W_1,2,present_NaBr,0.0317061946262538,0.0018326827492006
W_1,3,ionic_strength_proxy,0.0160555821697911,0.001070831095442
W_1,4,mol_proxy_NaBr,0.0148729084138573,0.0005969926059809
W_1,5,weighted_density,0.0146906189704264,0.0010287189183762
W_1,6,mass_proxy_NaBr,0.013056353670317,0.0005032782654369
conductivity,1,ionic_strength_proxy,7.097268345982627,0.5962342381425713
conductivity,2,ratio_Li2SO4,3.637946182961509,0.2099608227160818
conductivity,3,weighted_density,2.37533590999208,0.1453975556172149
conductivity,4,ratio_LiNO3,1.80673010231368,0.2734424015024655
conductivity,5,sulfate_ratio,1.5333662358369875,0.0113375476123587
conductivity,6,max_nonwater_ratio,1.4320404177406818,0.0446216427868155
pH,1,lithium_ratio,0.4074137069044319,0.0328908832337683
pH,2,ratio_NaClO4,0.1024448026935436,0.0023377925422485
pH,3,present_LiNO3,0.0502716086127999,0.0051979217610059
pH,4,ratio_NaNO3,0.0459100402878569,0.004465227693818
pH,5,present_NaBr,0.0363125954717139,0.001798754364176
pH,6,present_Li2SO4,0.0343800202389659,0.0019166467022841
