GUID,pattern_key,total_volume,ratio_Li2SO4,present_Li2SO4,mass_proxy_Li2SO4,mol_proxy_Li2SO4,ratio_LiClO4,present_LiClO4,mass_proxy_LiClO4,mol_proxy_LiClO4,ratio_LiNO3,present_LiNO3,mass_proxy_LiNO3,mol_proxy_LiNO3,ratio_Na2SO4,present_Na2SO4,mass_proxy_Na2SO4,mol_proxy_Na2SO4,ratio_NaBr,present_NaBr,mass_proxy_NaBr,mol_proxy_NaBr,ratio_NaClO4,present_NaClO4,mass_proxy_NaClO4,mol_proxy_NaClO4,ratio_NaNO3,present_NaNO3,mass_proxy_NaNO3,mol_proxy_NaNO3,ratio_water,present_water,mass_proxy_water,mol_proxy_water,active_count,water_ratio,weighted_density,ionic_strength_proxy,salt_ratio_sum,nonwater_entropy,max_nonwater_ratio,sulfate_ratio,nitrate_ratio,perchlorate_ratio,bromide_ratio,lithium_ratio,sodium_ratio,water_x_ionic,sulfate_x_nitrate,pattern_count,rare_pattern,pattern_Li2SO4,pattern_Li2SO4+LiClO4,pattern_Li2SO4+LiClO4+LiNO3,pattern_Li2SO4+LiNO3,pattern_Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,pattern_Li2SO4+LiNO3+NaClO4+NaNO3,pattern_Li2SO4+Na2SO4+NaClO4+NaNO3,pattern_Li2SO4+NaClO4,pattern_LiClO4,pattern_LiClO4+LiNO3,pattern_LiNO3,pattern_LiNO3+Na2SO4+NaClO4+NaNO3,pattern_Na2SO4+NaBr+NaClO4,pattern_Na2SO4+NaBr+NaClO4+NaNO3,pattern_Na2SO4+NaBr+NaNO3,pattern_Na2SO4+NaClO4,pattern_Na2SO4+NaClO4+NaNO3,pattern_Na2SO4+NaNO3,pattern_NaBr,pattern_NaBr+NaClO4+NaNO3,pattern_NaClO4,pattern_NaClO4+NaNO3,pattern_NaNO3
{CB4B9CC2-CDBD-FE26-E788-729AF26C8A85},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,7.0,0.37142857142857144,1.0,3.172,9.54772,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.605,4.2471,0.31428571428571433,1.0,2.552,3.8280000000000003,0.0,0.0,0.0,0.0,0.15714285714285717,1.0,1.826,29.270780000000002,0.04285714285714286,1.0,0.41100000000000003,4.12233,0.04285714285714286,1.0,0.3,0.0,5,0.04285714285714286,1.2665714285714287,7.287990000000001,0.9571428571428571,1.345940897512981,0.37142857142857144,0.6857142857142857,0.11428571428571428,0.15714285714285717,0.0,0.44285714285714284,0.5142857142857143,0.3123424285714286,0.0783673469387755,18,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{7DFFCEA2-855C-552A-86D9-3CDC8692397E},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,7.0,0.4571428571428572,1.0,3.904,11.75104,0.0,0.0,0.0,0.0,0.15714285714285717,1.0,1.331,9.34362,0.15714285714285717,1.0,1.276,1.9140000000000001,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1.66,26.6098,0.08571428571428572,1.0,0.8220000000000001,8.24466,0.0,0.0,0.0,0.0,5,0.0,1.2847142857142855,8.26616,1.0,1.4280144900998708,0.4571428571428572,0.6142857142857143,0.24285714285714288,0.14285714285714285,0.0,0.6142857142857143,0.3857142857142858,0.0,0.14918367346938777,18,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{761311EE-41DC-23D6-EDDE-B747CB1CC15D},Li2SO4+LiNO3+NaClO4+NaNO3,6.999999999999999,0.4714285714285715,1.0,4.026,12.11826,0.0,0.0,0.0,0.0,0.08571428571428572,1.0,0.726,5.09652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714289,1.0,0.166,2.6609800000000003,0.014285714285714289,1.0,0.137,1.37411,0.4142857142857143,1.0,2.9,0.0,4,0.4142857142857143,1.1364285714285716,3.035695714285715,0.5857142857142856,0.6864714082894506,0.4714285714285715,0.4714285714285715,0.1,0.014285714285714289,0.0,0.5571428571428572,0.028571428571428577,1.2576453673469392,0.04714285714285715,12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{24BDD1EA-13A7-6CEA-5F04-66F921E7C42B},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,6.999999999999999,0.014285714285714289,1.0,0.122,0.36722,0.0,0.0,0.0,0.0,0.18571428571428575,1.0,1.573,11.042459999999998,0.04285714285714286,1.0,0.348,0.522,0.0,0.0,0.0,0.0,0.04285714285714286,1.0,0.49799999999999994,7.982939999999999,0.6571428571428571,1.0,6.302,63.209059999999994,0.057142857142857155,1.0,0.4,0.0,5,0.057142857142857155,1.3204285714285717,11.874811428571428,0.9428571428571428,0.9192452336821526,0.6571428571428571,0.05714285714285715,0.8428571428571429,0.04285714285714286,0.0,0.20000000000000004,0.7428571428571429,0.6785606530612246,0.04816326530612245,18,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{6B671ED6-759C-9001-1DC4-FC23A8271BD6},Li2SO4+LiNO3+NaClO4+NaNO3,7.0,0.014285714285714287,1.0,0.122,0.36722,0.0,0.0,0.0,0.0,0.24285714285714285,1.0,2.057,14.44014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,3.4859999999999998,55.88058,0.1285714285714286,1.0,1.233,12.36699,0.31428571428571433,1.0,2.2,0.0,4,0.31428571428571433,1.2997142857142856,11.86499,0.6857142857142857,1.0293307483027958,0.3,0.014285714285714287,0.37142857142857144,0.3,0.0,0.2571428571428571,0.4285714285714286,3.728996857142858,0.005306122448979592,12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{8B4C389D-B7A3-94BA-28E8-831580E7CCEA},Li2SO4+LiNO3+NaClO4+NaNO3,7.0,0.1285714285714286,1.0,1.098,3.30498,0.0,0.0,0.0,0.0,0.014285714285714287,1.0,0.121,0.84942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,4.9799999999999995,79.82939999999999,0.028571428571428574,1.0,0.274,2.74822,0.39999999999999997,1.0,2.8,0.0,4,0.39999999999999997,1.3247142857142857,12.39028857142857,0.6,0.7891366165580365,0.42857142857142855,0.1285714285714286,0.04285714285714286,0.42857142857142855,0.0,0.14285714285714288,0.45714285714285713,4.956115428571428,0.005510204081632654,12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{53AAE681-6AC3-D834-9C74-F2DEA95FC7D5},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,7.0,0.014285714285714287,1.0,0.122,0.36722,0.0,0.0,0.0,0.0,0.19999999999999998,1.0,1.694,11.891879999999999,0.2714285714285714,1.0,2.2039999999999997,3.3059999999999996,0.0,0.0,0.0,0.0,0.3,1.0,3.4859999999999998,55.88058,0.1142857142857143,1.0,1.096,10.99288,0.09999999999999999,1.0,0.7,0.0,5,0.09999999999999999,1.3288571428571427,11.776937142857141,0.8999999999999999,1.3456221929243295,0.3,0.2857142857142857,0.3142857142857143,0.3,0.0,0.21428571428571427,0.6857142857142857,1.177693714285714,0.08979591836734693,18,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{93E3B0AD-0DBB-1581-C5C4-6A9437B72C26},Li2SO4+LiNO3+NaClO4+NaNO3,7.0,0.028571428571428574,1.0,0.244,0.73444,0.0,0.0,0.0,0.0,0.2714285714285714,1.0,2.299,16.13898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,1.0,0.49799999999999994,7.982939999999999,0.4571428571428572,1.0,4.384,43.97152,0.19999999999999998,1.0,1.4,0.0,4,0.19999999999999998,1.260714285714286,9.832554285714284,0.8,0.9483673261983752,0.4571428571428572,0.028571428571428574,0.7285714285714286,0.04285714285714286,0.0,0.3,0.5,1.9665108571428567,0.020816326530612248,12,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{E8E51C7B-5323-ADBD-6E44-9159948BC228},LiNO3+Na2SO4+NaClO4+NaNO3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714287,1.0,0.121,0.84942,0.028571428571428574,1.0,0.23199999999999998,0.348,0.0,0.0,0.0,0.0,0.8285714285714285,1.0,9.628,154.33684000000002,0.04285714285714286,1.0,0.41100000000000003,4.12233,0.08571428571428572,1.0,0.6,0.0,4,0.08571428571428572,1.570285714285714,22.80808428571429,0.9142857142857141,0.4530838521763205,0.8285714285714285,0.028571428571428574,0.05714285714285715,0.8285714285714285,0.0,0.014285714285714287,0.8999999999999999,1.954978653061225,0.00163265306122449,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{BE4E8230-0CBE-1685-E55C-D136578CD59C},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,7.0,0.14285714285714285,1.0,1.22,3.6721999999999997,0.0,0.0,0.0,0.0,0.4714285714285714,1.0,3.993,28.030859999999997,0.04285714285714286,1.0,0.348,0.522,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1.66,26.6098,0.15714285714285717,1.0,1.5070000000000003,15.115210000000003,0.04285714285714286,1.0,0.3,0.0,5,0.04285714285714286,1.2897142857142858,10.564295714285715,0.9571428571428572,1.3362863566035128,0.4714285714285714,0.18571428571428572,0.6285714285714286,0.14285714285714285,0.0,0.6142857142857143,0.34285714285714286,0.45275553061224494,0.11673469387755102,18,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
