target,rank,feature,importance_mean,importance_std
conductivity,1,ionic_strength_proxy,7.097268345982627,0.5962342381425713
conductivity,2,ratio_Li2SO4,3.6379461829615085,0.20996082271608185
conductivity,3,weighted_density,2.37533590999208,0.14539755561721496
conductivity,4,ratio_LiNO3,1.80673010231368,0.2734424015024655
conductivity,5,sulfate_ratio,1.5333662358369875,0.01133754761235879
conductivity,6,max_nonwater_ratio,1.4320404177406818,0.04462164278681558
conductivity,7,mol_proxy_Li2SO4,1.3418225208935954,0.05269470032917136
conductivity,8,sodium_ratio,1.218143099512462,0.13025388994169718
conductivity,9,mass_proxy_Li2SO4,1.208505518997978,0.039638295092711946
conductivity,10,lithium_ratio,1.1757162643136307,0.08932174274856777
conductivity,11,nitrate_ratio,0.8937390516010493,0.0682326802126172
conductivity,12,present_Li2SO4,0.8657435055451871,0.10340382094732542
pH,1,lithium_ratio,0.4074137069044319,0.032890883233768375
pH,2,ratio_NaClO4,0.1024448026935436,0.0023377925422485967
pH,3,present_LiNO3,0.05027160861279991,0.005197921761005988
pH,4,ratio_NaNO3,0.04591004028785691,0.004465227693818063
pH,5,present_NaBr,0.036312595471713977,0.0017987543641760067
pH,6,present_Li2SO4,0.03438002023896596,0.0019166467022841377
pH,7,weighted_density,0.031369542723560316,0.002462163098188097
pH,8,active_count,0.03099783485408486,0.001667314115265514
pH,9,ratio_Na2SO4,0.026421356589340486,0.0024960805901322095
pH,10,present_NaNO3,0.026191529330278407,0.0028483260779330636
pH,11,sodium_ratio,0.02584354044074147,0.0030754740657666503
pH,12,present_Na2SO4,0.020611158519506026,0.0019759936256831465
W_1,1,ratio_NaBr,0.08358845582141117,0.004622888730872806
W_1,2,present_NaBr,0.031706194626253854,0.001832682749200618
W_1,3,ionic_strength_proxy,0.016055582169791183,0.0010708310954420312
W_1,4,mol_proxy_NaBr,0.014872908413857336,0.0005969926059809377
W_1,5,weighted_density,0.0146906189704264,0.0010287189183762584
W_1,6,mass_proxy_NaBr,0.013056353670317064,0.0005032782654369453
W_1,7,bromide_ratio,0.011237360905486842,0.0004115556934184558
W_1,8,pattern_Na2SO4+NaBr+NaClO4+NaNO3,0.010613281325267994,0.0009204812442705425
W_1,9,ratio_water,0.009248668653841698,6.69393565715799e-05
W_1,10,present_LiNO3,0.0067622055094141735,0.00034988064434094833
W_1,11,present_Li2SO4,0.006229831818512676,0.00048190738614242474
W_1,12,lithium_ratio,0.0061599843844454575,0.000238317875682065
R_W,1,mol_proxy_NaBr,0.002322148974551458,4.873136244525047e-05
R_W,2,present_NaBr,0.002193278868149419,0.00010845636832943602
R_W,3,lithium_ratio,0.001597868584266554,0.00013670450793675036
R_W,4,ionic_strength_proxy,0.0015053738292125217,0.0001952434404092929
R_W,5,weighted_density,0.0014850657849512464,0.00014765274821394088
R_W,6,mass_proxy_NaBr,0.0014753861392486547,7.712268061803685e-05
R_W,7,mass_proxy_water,0.0013251081488000482,5.8264125072739034e-05
R_W,8,bromide_ratio,0.001229474310733442,4.774073939796498e-05
R_W,9,ratio_water,0.0011314528817133011,5.934822127108106e-05
R_W,10,water_ratio,0.0011138879450004284,0.0001025832297063361
R_W,11,water_x_ionic,0.0010970939628395949,3.692778757296135e-05
R_W,12,ratio_NaBr,0.0010687602580531815,4.803656111182406e-05
PI,1,ionic_strength_proxy,0.026045262307941755,0.0019833584579185557
PI,2,ratio_NaBr,0.009481961494693466,0.0009166988785565329
PI,3,lithium_ratio,0.009335875237048126,0.0006081682266225446
PI,4,perchlorate_ratio,0.009014406073399827,0.0006810975957366585
PI,5,sulfate_ratio,0.007739544060796039,0.0005714902104664614
PI,6,ratio_NaClO4,0.0075078664122100935,0.0006228142967844292
PI,7,weighted_density,0.005643101110865066,0.00029373693054930575
PI,8,max_nonwater_ratio,0.004553619460261217,0.00019360659398228076
PI,9,nitrate_ratio,0.003849730362763752,0.0002544633535856649
PI,10,mass_proxy_NaClO4,0.003816008460209238,0.0002785340510953162
PI,11,ratio_Li2SO4,0.0036315502962051883,0.000444066614117475
PI,12,water_x_ionic,0.002751103529777,0.00020578337932668678
