target,rank,feature,importance_mean,importance_std
PI,1,ionic_strength_proxy,0.0260452623079417,0.0019833584579185
PI,2,ratio_NaBr,0.0094819614946934,0.0009166988785565
PI,3,lithium_ratio,0.0093358752370481,0.0006081682266225
PI,4,perchlorate_ratio,0.0090144060733998,0.0006810975957366
PI,5,sulfate_ratio,0.007739544060796,0.0005714902104664
PI,6,ratio_NaClO4,0.00750786641221,0.0006228142967844
PI,7,weighted_density,0.005643101110865,0.0002937369305493
PI,8,max_nonwater_ratio,0.0045536194602612,0.0001936065939822
PI,9,nitrate_ratio,0.0038497303627637,0.0002544633535856
PI,10,mass_proxy_NaClO4,0.0038160084602092,0.0002785340510953
PI,11,ratio_Li2SO4,0.0036315502962051,0.0004440666141174
PI,12,water_x_ionic,0.002751103529777,0.0002057833793266
W_1,1,ratio_NaBr,0.0835884558214111,0.0046228887308728
W_1,2,present_NaBr,0.0317061946262538,0.0018326827492006
W_1,3,ionic_strength_proxy,0.0160555821697911,0.001070831095442
W_1,4,mol_proxy_NaBr,0.0148729084138573,0.0005969926059809
W_1,5,weighted_density,0.0146906189704264,0.0010287189183762
W_1,6,mass_proxy_NaBr,0.013056353670317,0.0005032782654369
W_1,7,bromide_ratio,0.0112373609054868,0.0004115556934184
W_1,8,pattern_Na2SO4+NaBr+NaClO4+NaNO3,0.0106132813252679,0.0009204812442705
W_1,9,ratio_water,0.0092486686538416,6.69393565715799e-05
W_1,10,present_LiNO3,0.0067622055094141,0.0003498806443409
W_1,11,present_Li2SO4,0.0062298318185126,0.0004819073861424
W_1,12,lithium_ratio,0.0061599843844454,0.000238317875682
conductivity,1,ionic_strength_proxy,7.097268345982627,0.5962342381425713
conductivity,2,ratio_Li2SO4,3.637946182961509,0.2099608227160818
conductivity,3,weighted_density,2.37533590999208,0.1453975556172149
conductivity,4,ratio_LiNO3,1.80673010231368,0.2734424015024655
conductivity,5,sulfate_ratio,1.5333662358369875,0.0113375476123587
conductivity,6,max_nonwater_ratio,1.4320404177406818,0.0446216427868155
conductivity,7,mol_proxy_Li2SO4,1.3418225208935954,0.0526947003291713
conductivity,8,sodium_ratio,1.218143099512462,0.1302538899416971
conductivity,9,mass_proxy_Li2SO4,1.208505518997978,0.0396382950927119
conductivity,10,lithium_ratio,1.1757162643136307,0.0893217427485677
conductivity,11,nitrate_ratio,0.8937390516010493,0.0682326802126172
conductivity,12,present_Li2SO4,0.8657435055451871,0.1034038209473254
pH,1,lithium_ratio,0.4074137069044319,0.0328908832337683
pH,2,ratio_NaClO4,0.1024448026935436,0.0023377925422485
pH,3,present_LiNO3,0.0502716086127999,0.0051979217610059
pH,4,ratio_NaNO3,0.0459100402878569,0.004465227693818
pH,5,present_NaBr,0.0363125954717139,0.001798754364176
pH,6,present_Li2SO4,0.0343800202389659,0.0019166467022841
pH,7,weighted_density,0.0313695427235603,0.002462163098188
pH,8,active_count,0.0309978348540848,0.0016673141152655
pH,9,ratio_Na2SO4,0.0264213565893404,0.0024960805901322
pH,10,present_NaNO3,0.0261915293302784,0.002848326077933
pH,11,sodium_ratio,0.0258435404407414,0.0030754740657666
pH,12,present_Na2SO4,0.020611158519506,0.0019759936256831
