GUID,pattern_key,pattern_count,rare_pattern,conductivity,pH,W_1,R_W,PI,fold,uncertainty_density,pred_conductivity,pred_conductivity_baseline,pred_conductivity_pls,resid_conductivity,uncertainty_dispersion_conductivity,pred_conductivity_ElasticNet,pred_conductivity_PLS,pred_conductivity_RandomForest,pred_conductivity_ExtraTrees,pred_conductivity_HistGB,pred_conductivity_Blend_RF_ET,pred_conductivity_Blend_Tree3,pred_pH,pred_pH_baseline,pred_pH_pls,resid_pH,uncertainty_dispersion_pH,pred_pH_ElasticNet,pred_pH_PLS,pred_pH_RandomForest,pred_pH_ExtraTrees,pred_pH_HistGB,pred_pH_Blend_RF_ET,pred_pH_Blend_Tree3,pred_W_1,pred_W_1_baseline,pred_W_1_pls,resid_W_1,uncertainty_dispersion_W_1,pred_W_1_ElasticNet,pred_W_1_PLS,pred_W_1_RandomForest,pred_W_1_ExtraTrees,pred_W_1_HistGB,pred_W_1_Blend_RF_ET,pred_W_1_Blend_Tree3,pred_R_W,pred_R_W_baseline,pred_R_W_pls,resid_R_W,uncertainty_dispersion_R_W,pred_R_W_ElasticNet,pred_R_W_PLS,pred_R_W_RandomForest,pred_R_W_ExtraTrees,pred_R_W_HistGB,pred_R_W_Blend_RF_ET,pred_R_W_Blend_Tree3,pred_PI,pred_PI_baseline,pred_PI_pls,resid_PI,uncertainty_dispersion_PI,pred_PI_ElasticNet,pred_PI_PLS,pred_PI_RandomForest,pred_PI_ExtraTrees,pred_PI_HistGB,pred_PI_Blend_RF_ET,pred_PI_Blend_Tree3,pred_S_pH,pred_PI_recon,pred_PI_gap_direct_vs_recon,uncertainty_hook_conductivity,uncertainty_hook_pH,uncertainty_hook_W_1,uncertainty_hook_R_W,uncertainty_hook_PI,total_volume,ratio_Li2SO4,present_Li2SO4,mass_proxy_Li2SO4,mol_proxy_Li2SO4,ratio_LiClO4,present_LiClO4,mass_proxy_LiClO4,mol_proxy_LiClO4,ratio_LiNO3,present_LiNO3,mass_proxy_LiNO3,mol_proxy_LiNO3,ratio_Na2SO4,present_Na2SO4,mass_proxy_Na2SO4,mol_proxy_Na2SO4,ratio_NaBr,present_NaBr,mass_proxy_NaBr,mol_proxy_NaBr,ratio_NaClO4,present_NaClO4,mass_proxy_NaClO4,mol_proxy_NaClO4,ratio_NaNO3,present_NaNO3,mass_proxy_NaNO3,mol_proxy_NaNO3,ratio_water,present_water,mass_proxy_water,mol_proxy_water,active_count,water_ratio,weighted_density,ionic_strength_proxy,salt_ratio_sum,nonwater_entropy,max_nonwater_ratio,sulfate_ratio,nitrate_ratio,perchlorate_ratio,bromide_ratio,lithium_ratio,sodium_ratio,water_x_ionic,sulfate_x_nitrate,pattern_Li2SO4,pattern_Li2SO4+LiClO4,pattern_Li2SO4+LiClO4+LiNO3,pattern_Li2SO4+LiNO3,pattern_Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,pattern_Li2SO4+LiNO3+NaClO4+NaNO3,pattern_Li2SO4+Na2SO4+NaClO4+NaNO3,pattern_Li2SO4+NaClO4,pattern_LiClO4,pattern_LiClO4+LiNO3,pattern_LiNO3,pattern_LiNO3+Na2SO4+NaClO4+NaNO3,pattern_Na2SO4+NaBr+NaClO4,pattern_Na2SO4+NaBr+NaClO4+NaNO3,pattern_Na2SO4+NaBr+NaNO3,pattern_Na2SO4+NaClO4,pattern_Na2SO4+NaClO4+NaNO3,pattern_Na2SO4+NaNO3,pattern_NaBr,pattern_NaBr+NaClO4+NaNO3,pattern_NaClO4,pattern_NaClO4+NaNO3,pattern_NaNO3,cluster_id,pc1,pc2,trust_tier
{CB4B9CC2-CDBD-FE26-E788-729AF26C8A85},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,18,0,111.2,8.55,2.43697,0.9342239941730078,0.6976073755116136,3,4.339365774073599,107.27329144382448,95.17537473661014,101.83309013173282,-3.926708556175527,1.0479268870463898,95.17537473661014,101.83309013173282,107.0766865079365,108.64369297052156,106.0994948530154,107.86018973922904,107.27329144382448,8.390831093328705,7.919231422822534,8.071009788479081,-0.1591689066712955,0.1904602585724302,7.919231422822534,8.071009788479081,8.313160204081631,8.206310119047629,8.653022956856852,8.259735161564631,8.390831093328705,2.4418581972450872,2.422269298782044,2.4156465285370987,0.0048881972450871,0.0034911607998707,2.422269298782044,2.4156465285370987,2.4464639062783444,2.4380149243367346,2.441095761120184,2.4422394153075397,2.4418581972450872,0.9085275751628232,0.9169469154115224,0.9163395869042013,-0.0256964190101844,0.0008145183939409,0.9169469154115224,0.9163395869042013,0.9085275751628232,0.9066736635112568,0.9082391642880384,0.90760061933704,0.9078134676540396,0.6542866548848432,0.6570030315417519,0.65419431331822,-0.0433207206267703,0.011157134435242,0.6570030315417519,0.65419431331822,0.649018810751988,0.6698011761940487,0.6440399777084928,0.6594099934730183,0.6542866548848432,1.0,0.6692542023627682,-0.014967547477925,0.9083665338645418,1.6135458167330676,0.8326693227091633,0.844621513944223,1.346613545816733,7.0,0.37142857142857144,1.0,3.172,9.54772,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.605,4.2471,0.31428571428571433,1.0,2.552,3.8280000000000003,0.0,0.0,0.0,0.0,0.15714285714285717,1.0,1.826,29.270780000000002,0.04285714285714286,1.0,0.41100000000000003,4.12233,0.04285714285714286,1.0,0.3,0.0,5,0.04285714285714286,1.2665714285714287,7.287990000000001,0.9571428571428571,1.345940897512981,0.37142857142857144,0.6857142857142857,0.11428571428571428,0.15714285714285717,0.0,0.44285714285714284,0.5142857142857143,0.3123424285714286,0.0783673469387755,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.8833515145093691,-3.3432842310237016,high
{7DFFCEA2-855C-552A-86D9-3CDC8692397E},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,18,0,109.6,8.25,2.488861,0.9324478892119606,0.7060664939426412,5,5.186433439396383,102.73811928761825,80.97742513303695,84.56466125172689,-6.861880712381748,4.86828411086738,80.97742513303695,84.56466125172689,96.0697954081633,104.58891419413922,107.55564826055225,100.32935480115124,102.73811928761825,8.130070095313643,7.958701217318317,8.269176734458007,-0.1199299046863568,0.1694321411354428,7.958701217318317,8.269176734458007,8.133904081632652,8.335637682512031,7.920668521796249,8.234770882072342,8.130070095313643,2.4699353387126504,2.467995132020574,2.4598429117650054,-0.0189256612873496,0.0028025886684627,2.467995132020574,2.4598429117650054,2.4665369228401355,2.469868242022017,2.4734008512757977,2.4682025824310765,2.4699353387126504,0.9160102433833692,0.91718243823771,0.9140922412228308,-0.0164376458285915,0.0021594962671282,0.91718243823771,0.9140922412228308,0.9160102433833692,0.9155606584657132,0.9203498581835614,0.9157854509245412,0.9173069200108812,0.6462079408738698,0.6660435099670386,0.6671056897033196,-0.0598585530687714,0.0119267003776076,0.6660435099670386,0.6671056897033196,0.6330714581243394,0.6619382719979393,0.6436140924993304,0.6475048650611394,0.6462079408738698,1.0,0.6596640199134217,-0.0134560790395519,1.5298804780876494,1.6653386454183263,0.8685258964143426,1.2270916334661357,1.454183266932271,7.0,0.4571428571428572,1.0,3.904,11.75104,0.0,0.0,0.0,0.0,0.15714285714285717,1.0,1.331,9.34362,0.15714285714285717,1.0,1.276,1.9140000000000001,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1.66,26.6098,0.08571428571428572,1.0,0.8220000000000001,8.24466,0.0,0.0,0.0,0.0,5,0.0,1.2847142857142855,8.26616,1.0,1.4280144900998708,0.4571428571428572,0.6142857142857143,0.24285714285714288,0.14285714285714285,0.0,0.6142857142857143,0.3857142857142858,0.0,0.14918367346938777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-0.20348611763790755,-4.238736342650181,medium
{761311EE-41DC-23D6-EDDE-B747CB1CC15D},Li2SO4+LiNO3+NaClO4+NaNO3,12,0,85.9,8.8,2.31727,0.9069762890713676,0.5543617195885849,3,6.115432301679661,92.48602716795676,75.29018362229442,88.7166705859589,6.586027167956743,3.4322532851136938,75.29018362229442,88.7166705859589,89.55014030612244,97.30150255102043,90.60643864672733,93.42582142857144,92.48602716795676,8.592752548149578,7.715620929470231,8.24162325536283,-0.2072474518504226,0.0789925753564755,7.715620929470231,8.24162325536283,8.677851332199548,8.48752630108954,8.612880011159648,8.582688816644545,8.592752548149578,2.3489495971830885,2.350380284861143,2.373514243634786,0.0316795971830883,0.0184972923061095,2.350380284861143,2.373514243634786,2.3229568264370752,2.3644967933478616,2.359395171764328,2.3437268098924684,2.3489495971830885,0.8947322261794053,0.9021395428053433,0.9056770929589272,-0.0122440628919623,0.0030795452840393,0.9021395428053433,0.9056770929589272,0.8947322261794053,0.9006990668303722,0.9017123708747316,0.8977156465048888,0.899047887961503,0.5882203514987988,0.519897907905347,0.5512889463624522,0.0338586319102138,0.0064195053876656,0.519897907905347,0.5512889463624522,0.5859880273467007,0.5817156461180965,0.5969573810315991,0.5838518367323986,0.5882203514987988,0.907247451850422,0.5893368708171217,-0.0011165193183229,1.50597609561753,1.5657370517928286,1.6215139442231077,1.4143426294820718,1.2589641434262948,6.999999999999999,0.4714285714285715,1.0,4.026,12.11826,0.0,0.0,0.0,0.0,0.08571428571428572,1.0,0.726,5.09652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714289,1.0,0.166,2.6609800000000003,0.014285714285714289,1.0,0.137,1.37411,0.4142857142857143,1.0,2.9,0.0,4,0.4142857142857143,1.1364285714285716,3.035695714285715,0.5857142857142856,0.6864714082894506,0.4714285714285715,0.4714285714285715,0.1,0.014285714285714289,0.0,0.5571428571428572,0.028571428571428577,1.2576453673469392,0.04714285714285715,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-2.0991314325661556,1.1119580407837113,medium
{24BDD1EA-13A7-6CEA-5F04-66F921E7C42B},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,18,0,162.9,8.18,2.481139,0.8969660314386876,0.8375644875313631,4,5.324736994179237,130.9170853485177,152.24146388510866,155.37839752196928,-31.982914651482304,7.380683365599387,152.24146388510866,155.37839752196928,139.89148610080392,131.0458170307867,121.81395291396248,135.4686515657953,130.9170853485177,7.941539512634343,8.017244743132995,8.099530560966732,-0.2384604873656561,0.1353097473214247,8.017244743132995,8.099530560966732,7.828475085034017,7.864372743682806,8.131770709186208,7.846423914358412,7.941539512634343,2.450351077127067,2.445350198635853,2.445050140462828,-0.0307879228729333,0.0109473520658774,2.445350198635853,2.445050140462828,2.45350755314626,2.4356467479157224,2.4618989303192182,2.444577150530991,2.450351077127067,0.8981537457364889,0.9010358499876324,0.890139990779661,0.0011877142978012,0.007314255170477,0.9010358499876324,0.890139990779661,0.8981537457364889,0.8916600699369958,0.8804460430595883,0.8949069078367423,0.890086619577691,0.7180016597404953,0.7785016718738387,0.7903997938973691,-0.1195628277908678,0.0079714801622721,0.7785016718738387,0.7903997938973691,0.7267382474137151,0.7198035175095884,0.7074632142981828,0.7232708824616517,0.7180016597404953,1.0,0.7443288596268727,-0.0263271998863773,1.6573705179282867,1.6494023904382469,1.3266932270916336,1.6334661354581672,1.254980079681275,6.999999999999999,0.014285714285714289,1.0,0.122,0.36722,0.0,0.0,0.0,0.0,0.18571428571428575,1.0,1.573,11.042459999999998,0.04285714285714286,1.0,0.348,0.522,0.0,0.0,0.0,0.0,0.04285714285714286,1.0,0.49799999999999994,7.982939999999999,0.6571428571428571,1.0,6.302,63.209059999999994,0.057142857142857155,1.0,0.4,0.0,5,0.057142857142857155,1.3204285714285717,11.874811428571428,0.9428571428571428,0.9192452336821526,0.6571428571428571,0.05714285714285715,0.8428571428571429,0.04285714285714286,0.0,0.20000000000000004,0.7428571428571429,0.6785606530612246,0.04816326530612245,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.774927096924214,-2.83618098066118,medium
{6B671ED6-759C-9001-1DC4-FC23A8271BD6},Li2SO4+LiNO3+NaClO4+NaNO3,12,0,156.5,8.29,2.4692,0.8928000011570387,0.8200377045893064,3,3.072030589425472,117.12722701666864,146.1694244687676,142.03128672374626,-39.37277298333136,16.557911504358316,146.1694244687676,142.03128672374626,127.783089497011,129.85714991754273,93.74144163545218,128.82011970727686,117.12722701666864,8.213848330228382,8.541105047414536,8.311693411149902,-0.0761516697716171,0.0420354795280594,8.541105047414536,8.311693411149902,8.273219246031745,8.181556519274375,8.186769225379027,8.22738788265306,8.213848330228382,2.449145487223404,2.445808749051932,2.449180918527096,-0.0200545127765958,0.014120531185804,2.445808749051932,2.449180918527096,2.4309063747619057,2.451223368659297,2.465306718249009,2.4410648717106014,2.449145487223404,0.9000648705293997,0.9079452697929684,0.909440362860979,0.0072648693723609,0.0025022314137862,0.9079452697929684,0.909440362860979,0.9000648705293997,0.9061800551698064,0.9027638309674104,0.9031224628496032,0.9030029188888724,0.7546257971437651,0.7965947833452776,0.7604230695455101,-0.0654119074455412,0.012495339031211,0.7965947833452776,0.7604230695455101,0.7700194865072985,0.7544440034991934,0.7394139014248038,0.7622317450032459,0.7546257971437651,1.0,0.6997521193307299,0.0548736778130352,1.4262948207171315,0.9482071713147412,1.0717131474103585,0.9402390438247012,1.155378486055777,7.0,0.014285714285714287,1.0,0.122,0.36722,0.0,0.0,0.0,0.0,0.24285714285714285,1.0,2.057,14.44014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,3.4859999999999998,55.88058,0.1285714285714286,1.0,1.233,12.36699,0.31428571428571433,1.0,2.2,0.0,4,0.31428571428571433,1.2997142857142856,11.86499,0.6857142857142857,1.0293307483027958,0.3,0.014285714285714287,0.37142857142857144,0.3,0.0,0.2571428571428571,0.4285714285714286,3.728996857142858,0.005306122448979592,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.897706390271051,0.3800773088866056,high
{8B4C389D-B7A3-94BA-28E8-831580E7CCEA},Li2SO4+LiNO3+NaClO4+NaNO3,12,0,147.5,8.82,2.5009360000000003,0.9091790168764086,0.7086507517913775,2,4.323452636722776,120.73486528379004,138.58851884182016,129.8402497199614,-26.76513471620997,3.096191852276513,138.58851884182016,129.8402497199614,116.35771581632656,122.82330069573284,123.0235793393107,119.5905082560297,120.73486528379004,8.460868933125084,8.403725944616651,8.152647290796859,-0.3591310668749159,0.0796907829133687,8.403725944616651,8.152647290796859,8.567462159863945,8.375880927674098,8.439263711837212,8.471671543769022,8.460868933125084,2.395885766858942,2.4141869357312924,2.412633278887944,-0.1050502331410583,0.014687378754567,2.4141869357312924,2.412633278887944,2.382692014630232,2.416375890204082,2.388589395742511,2.399533952417157,2.395885766858942,0.8958096848472864,0.9116143502256884,0.913813214339317,-0.0133693320291221,0.0007785928617656,0.9116143502256884,0.913813214339317,0.8958096848472864,0.8961716575783165,0.897612294660541,0.8959906712128014,0.8965312123620479,0.7443250598870345,0.7406990358417986,0.7021089320854846,0.0356743080956569,0.0146951316937303,0.7406990358417986,0.7021089320854846,0.737674319191036,0.7305991522949479,0.7647017081751197,0.734136735742992,0.7443250598870345,1.0,0.7032823390700962,0.0410427208169382,1.3067729083665338,1.406374501992032,1.3266932270916334,0.8366533864541832,1.4581673306772909,7.0,0.1285714285714286,1.0,1.098,3.30498,0.0,0.0,0.0,0.0,0.014285714285714287,1.0,0.121,0.84942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.0,4.9799999999999995,79.82939999999999,0.028571428571428574,1.0,0.274,2.74822,0.39999999999999997,1.0,2.8,0.0,4,0.39999999999999997,1.3247142857142857,12.39028857142857,0.6,0.7891366165580365,0.42857142857142855,0.1285714285714286,0.04285714285714286,0.42857142857142855,0.0,0.14285714285714288,0.45714285714285713,4.956115428571428,0.005510204081632654,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.389858917111359,1.097798630282579,medium
{53AAE681-6AC3-D834-9C74-F2DEA95FC7D5},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,18,0,11.32,8.05,2.505912,0.9181371054729632,0.5196244510565513,1,3.619319901448192,127.77541060201663,129.06206045983052,128.30950032614854,116.45541060201664,5.451539147138711,129.06206045983052,128.30950032614854,134.02047460317462,120.73774126984132,128.56801593303396,127.37910793650796,127.77541060201663,8.182236766807712,8.131002112938324,8.070367887670725,0.1322367668077113,0.1338545215259605,8.131002112938324,8.070367887670725,8.128950396825402,8.05157142857143,8.366188475026304,8.090260912698415,8.182236766807712,2.4276917465823917,2.417768465581915,2.40466132143734,-0.0782202534176086,0.0044590302505084,2.417768465581915,2.40466132143734,2.4214661244727886,2.4299352773752827,2.431673837899102,2.425700700924036,2.4276917465823917,0.9005819546117978,0.9013341764259506,0.8987326975579243,-0.0175551508611654,0.0022133157963097,0.9013341764259506,0.8987326975579243,0.9005819546117978,0.8951643207156964,0.8976959854982695,0.8978731376637471,0.8978140869419212,0.7220985229089344,0.7418797920373045,0.7372315603592144,0.2024740718523831,0.0071253126929407,0.7418797920373045,0.7372315603592144,0.7303056989608072,0.7129316535952905,0.7230582161707054,0.7216186762780489,0.7220985229089344,1.0,0.730855984915514,-0.0087574620065795,1.3904382470119525,1.4661354581673307,0.7729083665338645,1.063745019920319,1.0239043824701195,7.0,0.014285714285714287,1.0,0.122,0.36722,0.0,0.0,0.0,0.0,0.19999999999999998,1.0,1.694,11.891879999999999,0.2714285714285714,1.0,2.2039999999999997,3.3059999999999996,0.0,0.0,0.0,0.0,0.3,1.0,3.4859999999999998,55.88058,0.1142857142857143,1.0,1.096,10.99288,0.09999999999999999,1.0,0.7,0.0,5,0.09999999999999999,1.3288571428571427,11.776937142857141,0.8999999999999999,1.3456221929243295,0.3,0.2857142857142857,0.3142857142857143,0.3,0.0,0.21428571428571427,0.6857142857142857,1.177693714285714,0.08979591836734693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.344857478425797,-2.9492451946044276,high
{93E3B0AD-0DBB-1581-C5C4-6A9437B72C26},Li2SO4+LiNO3+NaClO4+NaNO3,12,0,158.4,8.28,2.4828140000000003,0.9142580440850476,0.8290688172388494,4,4.052447728282333,143.4842313506125,151.0279610220196,152.34348974132,-14.915768649387502,2.284607920577585,151.0279610220196,152.34348974132,145.40464477427332,140.2738781462585,144.77417113130574,142.8392614602659,143.4842313506125,7.971089446170272,8.19273185008855,8.039063231164011,-0.308910553829727,0.0175908695658212,8.19273185008855,8.039063231164011,7.946770006184295,7.978712463924972,7.987785868401552,7.962741235054633,7.971089446170272,2.46670225843859,2.444858894627455,2.4332683141168308,-0.0161117415614104,0.0097782659865266,2.444858894627455,2.4332683141168308,2.4558971064752115,2.464630996929329,2.4795786719112285,2.4602640517022705,2.46670225843859,0.9075489137598238,0.90903795646513,0.9113582289379888,-0.0067091303252238,0.001871746623441,0.90903795646513,0.9113582289379888,0.9075489137598238,0.9121085747866168,0.9094133193206808,0.9098287442732202,0.9096902692890404,0.7342661059971879,0.8002168182529533,0.7955132411181898,-0.0948027112416615,0.0189536778708093,0.8002168182529533,0.7955132411181898,0.7321183759312856,0.7122011875936958,0.7584787544665824,0.7221597817624907,0.7342661059971879,1.0,0.7900003560965708,-0.0557342500993829,1.2071713147410357,0.9322709163346612,1.1713147410358564,1.043824701195219,1.5139442231075697,7.0,0.028571428571428574,1.0,0.244,0.73444,0.0,0.0,0.0,0.0,0.2714285714285714,1.0,2.299,16.13898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285714285714286,1.0,0.49799999999999994,7.982939999999999,0.4571428571428572,1.0,4.384,43.97152,0.19999999999999998,1.0,1.4,0.0,4,0.19999999999999998,1.260714285714286,9.832554285714284,0.8,0.9483673261983752,0.4571428571428572,0.028571428571428574,0.7285714285714286,0.04285714285714286,0.0,0.3,0.5,1.9665108571428567,0.020816326530612248,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.37263779439920824,-0.5743242891456662,medium
{E8E51C7B-5323-ADBD-6E44-9159948BC228},LiNO3+Na2SO4+NaClO4+NaNO3,1,1,123.4,8.84,2.7472060000000003,0.9136503831589644,0.6650531000307257,4,5.914689090215034,127.28050208169658,130.86285044605938,130.08130321725116,3.880502081696577,0.3532080462935812,130.86285044605938,130.08130321725116,126.89984183673477,127.19073004535149,127.75093436300352,127.04528594104312,127.28050208169658,7.655820898283568,7.716928499559671,7.571822021990711,-1.184179101716432,0.1147494214999312,7.716928499559671,7.571822021990711,7.563699828399829,7.58618170995671,7.817581156494163,7.574940769178269,7.655820898283568,2.5940918943265374,2.5730314967319385,2.4636935108673024,-0.1531141056734628,0.0231207515121589,2.5730314967319385,2.4636935108673024,2.6010660069983014,2.562939425648497,2.618270250332814,2.582002716323399,2.5940918943265374,0.9158848049665724,0.9106339470577,0.9327289476823438,0.0022344218076081,0.0006474417355152,0.9106339470577,0.9327289476823438,0.9158848049665724,0.9146773680879262,0.9143906452085454,0.9152810865272494,0.914984272754348,0.7175655244850176,0.7162091134494378,0.7052412638082657,0.0525124244542919,0.0171305185138712,0.7162091134494378,0.7052412638082657,0.7318730375034583,0.7273426067102335,0.693480929241361,0.7296078221068459,0.7175655244850176,1.0,0.7517139391643741,-0.0341484146793564,0.8645418326693227,1.6733067729083666,1.6613545816733069,0.9482071713147412,1.6653386454183268,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714287,1.0,0.121,0.84942,0.028571428571428574,1.0,0.23199999999999998,0.348,0.0,0.0,0.0,0.0,0.8285714285714285,1.0,9.628,154.33684000000002,0.04285714285714286,1.0,0.41100000000000003,4.12233,0.08571428571428572,1.0,0.6,0.0,4,0.08571428571428572,1.570285714285714,22.80808428571429,0.9142857142857141,0.4530838521763205,0.8285714285714285,0.028571428571428574,0.05714285714285715,0.8285714285714285,0.0,0.014285714285714287,0.8999999999999999,1.954978653061225,0.00163265306122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.619810321716972,-2.276438082493323,low
{BE4E8230-0CBE-1685-E55C-D136578CD59C},Li2SO4+LiNO3+Na2SO4+NaClO4+NaNO3,18,0,139.4,8.02,2.537951,0.9265530102236766,0.7869812901472709,1,4.52946576907825,112.25446382263432,121.92443287442508,135.24072654097276,-27.145536177365685,5.346704495422604,121.92443287442508,135.24072654097276,119.49239506802716,106.74073253968253,110.5302638601933,113.11656380385485,112.25446382263432,8.342481334254492,8.069353960617661,8.3166847921113,0.3224813342544923,0.0751371176378866,8.069353960617661,8.3166847921113,8.28957403628118,8.289129012059368,8.448740954422925,8.289351524170275,8.342481334254492,2.4770775654701165,2.498494190511237,2.492762255511764,-0.0608734345298835,0.0167733759885268,2.498494190511237,2.492762255511764,2.459862189207896,2.471552230987811,2.499818276214644,2.465707210097853,2.4770775654701165,0.9086236881891,0.910995370042672,0.9080920445509344,-0.0179293220345765,0.0014428793975572,0.910995370042672,0.9080920445509344,0.9086236881891,0.9095406666149024,0.9061261805774956,0.9090821774020011,0.908096845127166,0.7137236003997076,0.7848585668668502,0.8223902425207807,-0.0732576897475633,0.0097156551042708,0.7848585668668502,0.8223902425207807,0.7078297244869267,0.705921696502146,0.7274193802100501,0.7068757104945363,0.7137236003997076,1.0,0.6886617486659787,0.0250618517337288,1.5099601593625498,1.4143426294820718,1.4462151394422311,1.0079681274900398,1.2788844621513946,7.0,0.14285714285714285,1.0,1.22,3.6721999999999997,0.0,0.0,0.0,0.0,0.4714285714285714,1.0,3.993,28.030859999999997,0.04285714285714286,1.0,0.348,0.522,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,1.66,26.6098,0.15714285714285717,1.0,1.5070000000000003,15.115210000000003,0.04285714285714286,1.0,0.3,0.0,5,0.04285714285714286,1.2897142857142858,10.564295714285715,0.9571428571428572,1.3362863566035128,0.4714285714285714,0.18571428571428572,0.6285714285714286,0.14285714285714285,0.0,0.6142857142857143,0.34285714285714286,0.45275553061224494,0.11673469387755102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.238580469110269,-3.4129092825211433,medium
