GUID,pattern_key,pattern_count,rare_pattern,uncertainty_density,pred_conductivity,uncertainty_dispersion_conductivity,pred_pH,uncertainty_dispersion_pH,pred_W_1,uncertainty_dispersion_W_1,pred_R_W,uncertainty_dispersion_R_W,pred_PI,uncertainty_dispersion_PI,pred_S_pH,pred_PI_recon,pred_PI_gap_direct_vs_recon,uncertainty_hook_conductivity,uncertainty_hook_pH,uncertainty_hook_W_1,uncertainty_hook_R_W,uncertainty_hook_PI,anchor_guid,anchor_trust,anchor_PI,recipe_signature,trust_tier,vol_Li2SO4,vol_LiClO4,vol_LiNO3,vol_Na2SO4,vol_NaBr,vol_NaClO4,vol_NaNO3,vol_water,pi_rank,cond_rank,w1_rank,ph_rank,novelty_rank,risk_rank,exploit_score,explore_score
q5cand_0001,Li2SO4+NaClO4+NaNO3,0,1,5.699125121205645,156.73009891958597,3.5843340226414773,7.925467090503733,0.18227960716791194,2.4185215988064717,0.019969233287802823,0.8976012446493266,0.0010217085480700252,0.8061579050553057,0.005273745026764235,1.0,0.7515158701736243,0.0546420348816814,1.464555052790347,1.2986425339366514,1.0693815987933635,0.7722473604826545,1.0678733031674208,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,Li2SO4:0.1; NaClO4:2.9; NaNO3:2.0; water:2.0,low,0.1,0.0,0.0,0.0,0.0,2.9,2.0,2.0,0.7194570135746606,0.5987933634992458,0.2473604826546003,0.5052790346907994,0.502262443438914,0.46681749622926094,0.43778280542986425,0.49577677224736055
q5cand_0002,Li2SO4+NaClO4+NaNO3,0,1,5.716355291930219,155.6020884362982,4.039804421127883,7.948653307019197,0.13489464379057198,2.4133112078679786,0.016993214846908085,0.8968247212580374,0.0024483266101097247,0.8026906527996912,0.005405096256606627,1.0,0.742289200735011,0.06040145206468017,1.5324283559577676,1.2458521870286576,1.0844645550527905,1.2247360482654601,1.1266968325791855,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,Li2SO4:0.2; NaClO4:2.8; NaNO3:2.0; water:2.0,low,0.2,0.0,0.0,0.0,0.0,2.8,2.0,2.0,0.6168929110105581,0.5399698340874811,0.2368024132730015,0.5052790346907994,0.55052790346908,0.5248868778280543,0.36666666666666664,0.4562594268476621
q5cand_0003,LiClO4+NaClO4+NaNO3,0,1,5.824035476725644,159.57867472133475,1.7269706610046527,7.7842561438473,0.28930519489067347,2.408641763930757,0.034309473855616994,0.899990029766789,0.0005179157000248497,0.8079659414031558,0.004701455391853586,1.0,0.756946579743932,0.05101936165922383,1.4268476621417796,1.5776772247360482,1.3650075414781297,0.7435897435897435,1.152337858220211,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,LiClO4:0.1; NaClO4:2.9; NaNO3:2.0; water:2.0,low,0.0,0.1,0.0,0.0,0.0,2.9,2.0,2.0,0.7722473604826546,0.7073906485671192,0.22473604826546004,0.5052790346907994,0.6395173453996983,0.5452488687782805,0.4641779788838613,0.5547511312217195
q5cand_0004,LiClO4+NaClO4+NaNO3,0,1,5.8422232628184805,159.61727874627806,1.7262386004938493,7.781415650961056,0.26270944831397247,2.4049569035074763,0.03541304166880593,0.8996433088428791,0.0018475633314765443,0.8055087542140339,0.005087938218303695,1.0,0.7540499518886862,0.05145880232534772,1.44947209653092,1.5460030165912517,1.396681749622926,1.2383107088989442,1.2187028657616894,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,LiClO4:0.2; NaClO4:2.8; NaNO3:2.0; water:2.0,low,0.0,0.2,0.0,0.0,0.0,2.8,2.0,2.0,0.7043740573152338,0.7104072398190046,0.22021116138763197,0.5052790346907994,0.6636500754147813,0.6312217194570136,0.4163650075414782,0.5284313725490196
q5cand_0005,LiNO3+NaClO4+NaNO3,0,1,5.697465821003679,157.92227006844794,2.743539840046973,8.011373236265719,0.14679400020965125,2.4243834223664886,0.014153172358843004,0.8987663002443351,0.0011763192806985763,0.8050968270062163,0.007952684551663203,1.0,0.7616242690469424,0.04347255795927396,1.3996983408748114,1.2307692307692308,0.9728506787330318,0.8205128205128205,1.215686274509804,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,LiNO3:0.1; NaClO4:2.9; NaNO3:2.0; water:2.0,low,0.0,0.0,0.1,0.0,0.0,2.9,2.0,2.0,0.693815987933635,0.6530920060331825,0.2654600301659125,0.5052790346907994,0.4947209653092006,0.6289592760180995,0.40739064856711915,0.478657616892911
q5cand_0006,LiNO3+NaClO4+NaNO3,0,1,5.709995554994938,156.14410676202002,1.4775185914423836,8.014873068398371,0.114178429071764,2.4198303076979673,0.013968202656689558,0.8988292717548731,0.0012179042610862682,0.8033039095695692,0.00826512665303926,1.0,0.7503547737352332,0.052949135834336025,1.2654600301659125,1.1779788838612368,1.0075414781297134,0.8808446455505279,1.282051282051282,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,LiNO3:0.2; NaClO4:2.8; NaNO3:2.0; water:2.0,low,0.0,0.0,0.2,0.0,0.0,2.8,2.0,2.0,0.6365007541478129,0.5731523378582202,0.2564102564102564,0.5052790346907994,0.5369532428355958,0.7043740573152338,0.3491704374057314,0.4487179487179486
q5cand_0007,Na2SO4+NaClO4+NaNO3,18,0,2.927849427692496,160.39004699973998,0.6027061261080836,6.999744208205038,0.041802478195150615,2.4499490051919715,0.0059601626488942705,0.8904190255444988,0.004337768373064615,0.8213614826402847,0.007446362602632107,1.0,0.7861395255510845,0.035221957089200284,0.6018099547511312,0.6817496229260935,0.5369532428355958,1.1070889894419307,0.9939668174962293,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,Na2SO4:0.1; NaClO4:2.9; NaNO3:2.0; water:2.0,high,0.0,0.0,0.0,0.1,0.0,2.9,2.0,2.0,0.8883861236802413,0.7692307692307693,0.3393665158371041,0.5052790346907994,0.3031674208144796,0.41402714932126694,0.5722473604826547,0.5451734539969834
q5cand_0008,Na2SO4+NaClO4+NaNO3,18,0,2.808685282555966,160.06427147157595,0.5971415770348801,6.970875061984461,0.035661979605667166,2.4476969708320877,0.007779511983556018,0.8897145817513723,0.002567314457618207,0.8170719989126888,0.00759305543362381,1.0,0.7828170817828309,0.03425491712985784,0.5852187028657617,0.607843137254902,0.5957767722473606,0.9803921568627452,0.9879336349924586,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,Na2SO4:0.2; NaClO4:2.8; NaNO3:2.0; water:2.0,high,0.0,0.0,0.0,0.2,0.0,2.8,2.0,2.0,0.8657616892911011,0.7390648567119156,0.33182503770739064,0.5052790346907994,0.2895927601809955,0.41025641025641024,0.5556561085972851,0.5289592760180996
q5cand_0009,NaBr+NaClO4+NaNO3,4,1,6.692639846216382,162.05294693919623,0.9191347409188394,7.120376140757659,0.14087990198679717,1.8828350045849545,0.061769944235604925,0.9763111681650986,0.0359853731997723,0.7554359854678306,0.00647752845368172,1.0,0.41614649884058014,0.3392894866272505,1.4419306184012066,1.6440422322775263,1.8174962292609351,1.865761689291101,1.570135746606335,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,NaBr:0.1; NaClO4:2.9; NaNO3:2.0; water:2.0,low,0.0,0.0,0.0,0.0,0.1,2.9,2.0,2.0,0.14328808446455504,0.8506787330316742,0.04072398190045249,0.5052790346907994,0.9276018099547512,0.8627450980392157,0.11870286576168929,0.3779788838612368
q5cand_0010,NaBr+NaClO4+NaNO3,4,1,6.544433987241777,162.62685926297652,0.5397565719567534,7.079141901688064,0.1245942324634925,1.8441438935168328,0.05100707679744268,0.9470269533191585,0.004491467001718763,0.7372310541624015,0.005332680043626603,1.0,0.3984311664123754,0.3387998877500261,1.1508295625942684,1.5731523378582202,1.7390648567119156,1.7164404223227754,1.4766214177978885,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,NaBr:0.2; NaClO4:2.8; NaNO3:2.0; water:2.0,low,0.0,0.0,0.0,0.0,0.2,2.8,2.0,2.0,0.1191553544494721,0.8672699849170438,0.016591251885369532,0.5052790346907994,0.9064856711915535,0.8378582202111614,0.11251885369532427,0.36681749622926085
q5cand_0011,NaClO4+NaNO3,27,0,1.6523523194073693,161.08415110564508,0.12680976327986868,7.798970351826774,0.04785837024835743,2.483817771682396,0.02647568176132718,0.8997106933827708,0.0018023000120605144,0.8336773347395409,0.0018651600662925065,1.0,0.8185647467377187,0.015112588001822136,0.21417797888386125,0.6199095022624435,0.828054298642534,0.7435897435897436,0.3770739064856712,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,NaClO4:2.9; NaNO3:2.1; water:2.0,high,0.0,0.0,0.0,0.0,0.0,2.9,2.1,2.0,0.9834087481146304,0.7948717948717948,0.41025641025641024,0.5052790346907994,0.1794871794871795,0.1726998491704374,0.6790346907993967,0.5825791855203618
q5cand_0012,NaClO4+NaNO3,27,0,1.6643013880356794,160.9036380670963,0.46520974995708425,7.771157134342293,0.04073463939010765,2.4798629791360995,0.022950879088963462,0.8991947586826127,0.0012829921066177523,0.8323760172448811,0.001766109396951034,1.0,0.814739312150979,0.01763670509390214,0.39517345399698345,0.5475113122171946,0.7858220211161387,0.5535444947209653,0.3695324283559578,{67331D49-137E-D1B2-D46A-5FCFCD96A9A0},high,0.8470858629974295,NaClO4:2.8; NaNO3:2.2; water:2.0,high,0.0,0.0,0.0,0.0,0.0,2.8,2.2,2.0,0.9607843137254902,0.7858220211161387,0.39819004524886875,0.5052790346907994,0.18401206636500755,0.16289592760180996,0.6671945701357467,0.5742081447963799
