GUID,pattern_key,pattern_count,rare_pattern,uncertainty_density,pred_conductivity,uncertainty_dispersion_conductivity,pred_pH,uncertainty_dispersion_pH,pred_W_1,uncertainty_dispersion_W_1,pred_R_W,uncertainty_dispersion_R_W,pred_PI,uncertainty_dispersion_PI,pred_S_pH,pred_PI_recon,pred_PI_gap_direct_vs_recon,uncertainty_hook_conductivity,uncertainty_hook_pH,uncertainty_hook_W_1,uncertainty_hook_R_W,uncertainty_hook_PI,trust_tier,candidate_guid,radius
q6_q5cand_0235_01_0001,Li2SO4+NaClO4+NaNO3,0,1,6.266783387293298,161.99181603973025,3.153702720128077,7.701996349686322,0.21568116549761046,2.502872300237089,0.017035787646387832,0.9097002229691673,0.000986220643412016,0.7995188356678852,0.0008320092324708012,1.0,0.8317741185818089,-0.032255282913923766,1.5714285714285714,1.5714285714285714,1.3571428571428572,0.7857142857142857,0.7857142857142857,low,q5cand_0235,0.1
q6_q5cand_0235_01_0002,LiClO4+NaClO4+NaNO3,0,1,6.375639098482006,163.7923354416558,2.530447340217634,7.5472574733750015,0.31810338586555403,2.5178498089137187,0.02136974866817007,0.9115102267684452,0.0016386390474718954,0.796854077663138,0.00422301229582251,1.0,0.8548284994961612,-0.05797442183302326,1.5714285714285714,1.8571428571428572,1.7142857142857142,1.2857142857142856,1.2857142857142856,low,q5cand_0235,0.1
q6_q5cand_0235_01_0003,LiNO3+NaClO4+NaNO3,0,1,6.2659054318954865,162.42169255616827,3.4158607589132393,7.835370720654939,0.13378915356636822,2.5181052353105238,0.014364331324218873,0.9122721688224201,0.0021415564517896536,0.7999317506058478,0.001925624657464573,1.0,0.851215324202365,-0.05128357359651725,1.6428571428571428,1.3571428571428572,1.0714285714285714,1.2857142857142858,0.7857142857142858,low,q5cand_0235,0.1
q6_q5cand_0235_01_0004,Na2SO4+NaClO4+NaNO3,18,0,5.366236224120348,164.4833167097686,1.6983330377350467,6.61519830868204,0.09152971947986195,2.523617238442044,0.00988741100952162,0.8981906611825385,0.0028570284495844324,0.8148329735453603,0.020722717940832875,1.0,0.8412152872235118,-0.02638231367815147,0.8571428571428571,0.8571428571428571,0.6428571428571428,1.2142857142857142,1.2857142857142856,medium,q5cand_0235,0.1
q6_q5cand_0235_01_0005,NaBr+NaClO4+NaNO3,4,1,9.287993780356631,165.80290021636907,0.5900865085814136,6.793270534592516,0.1153602206273764,1.9383970816612424,0.10441302194350702,0.9682200756100721,0.03550595680406237,0.7238030108988736,0.025185416154229666,1.0,0.14465447871790368,0.5791485321809698,1.0714285714285714,1.5714285714285714,1.9285714285714286,1.9285714285714286,1.9285714285714286,low,q5cand_0235,0.1
q6_q5cand_0235_01_0006,NaClO4+NaNO3,27,0,2.946724711932654,164.49576388393476,1.7752763213112033,7.5736795970828625,0.017105018013306765,2.571427626879552,0.01575749676742918,0.9118323968149169,0.002489366237235804,0.8350384670941283,0.004446714912042425,1.0,0.8870184520041483,-0.05197998491001998,0.6428571428571428,0.21428571428571427,0.7142857142857142,0.8571428571428572,0.6428571428571428,high,q5cand_0235,0.1
q6_q5cand_0235_01_0007,NaClO4+NaNO3,27,0,3.3843314603560204,164.89065376488716,1.3432886965612607,7.56018489495959,0.021185370901124795,2.5435015984318654,0.008519163157537781,0.9090999250061904,0.0013611993766061614,0.8341730664361963,0.004868907305148319,1.0,0.8725813303968175,-0.03840826396062125,0.5,0.42857142857142855,0.42857142857142855,0.5,0.8571428571428571,high,q5cand_0235,0.1
q6_q5cand_0235_01_0008,Li2SO4+NaClO4+NaNO3,0,1,6.222508201919922,161.68173247733088,2.980866746082304,7.724882785472758,0.19703798986133614,2.50269434061001,0.014520758722343258,0.9099325837808495,0.0010717111578657842,0.7972554241349993,0.004015993262526375,1.0,0.830517640817428,-0.03326221668242868,1.3571428571428572,1.3571428571428572,1.0714285714285714,0.7142857142857142,0.8571428571428571,low,q5cand_0235,0.1
q6_q5cand_0235_01_0009,LiClO4+NaClO4+NaNO3,0,1,6.332714686843672,163.2926044869662,2.448476852698501,7.558733014500543,0.31025154533606675,2.518905026806482,0.01863880269157728,0.9112604051866698,0.0014674277050914604,0.7958547572159934,0.006082045568896454,1.0,0.8538713869333648,-0.058016629717371426,1.4285714285714286,1.7142857142857144,1.5,1.0714285714285714,1.5,low,q5cand_0235,0.1
q6_q5cand_0235_01_0010,LiNO3+NaClO4+NaNO3,0,1,6.221406365007995,161.97850922052626,3.331407622123293,7.837250482559699,0.13235850081919315,2.518845216621654,0.011370134761709097,0.912518892899048,0.0019075203613168944,0.7977730267228423,0.00492526961817553,1.0,0.8501450890004845,-0.05237206227764213,1.4285714285714286,1.1428571428571428,0.7857142857142857,1.0,1.1428571428571428,low,q5cand_0235,0.1
